in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-2,-0.2,-2,0.009814,1182.097507,0.004907,41.634315,0.362151,0.181075,False,dy_4-2_dx_0-0.2_dy_0-2.png
-1.6,-0.2,-2,0.009924,1184.09341,0.004962,50.349072,0.364515,0.182258,False,dy_4-1.6_dx_0-0.2_dy_0-2.png
-1.2,-0.2,-2,0.011123,1196.403768,0.005561,62.55628,0.402181,0.201091,False,dy_4-1.2_dx_0-0.2_dy_0-2.png
-0.8,-0.2,-2,0.01374,1218.746202,0.00687,90.930775,0.41221,0.206105,False,dy_4-0.8_dx_0-0.2_dy_0-2.png
-0.4,-0.2,-2,0.017876,1251.796609,0.008938,113.702553,0.415915,0.207958,False,dy_4-0.4_dx_0-0.2_dy_0-2.png
0,-0.2,-2,0.020837,1296.377129,0.010418,140.3088,0.447078,0.223539,False,dy_40_dx_0-0.2_dy_0-2.png
0.4,-0.2,-2,0.018725,1352.667176,0.009362,184.365748,0.280129,0.140065,False,dy_40.4_dx_0-0.2_dy_0-2.png
0.8,-0.2,-2,0.014657,1419.808261,0.007328,140.282871,0.136397,0.068198,False,dy_40.8_dx_0-0.2_dy_0-2.png
1.2,-0.2,-2,0.011824,1496.129867,0.005912,140.424578,0.092196,0.046098,False,dy_41.2_dx_0-0.2_dy_0-2.png
1.6,-0.2,-2,0.0103,1579.702825,0.00515,153.116068,0.069998,0.034999,False,dy_41.6_dx_0-0.2_dy_0-2.png
2,-0.2,-2,0.009577,1668.777134,0.004789,167.103681,0.06081,0.030405,False,dy_42_dx_0-0.2_dy_0-2.png
-2,0,-2,0.009154,1142.619498,0.004577,39.338367,0.345866,0.172933,False,dy_4-2_dx_00_dy_0-2.png
-1.6,0,-2,0.009438,1147.931481,0.004719,42.38057,0.357677,0.178839,False,dy_4-1.6_dx_00_dy_0-2.png
-1.2,0,-2,0.010713,1162.857328,0.005357,52.695037,0.399979,0.199989,False,dy_4-1.2_dx_00_dy_0-2.png
